model,exp,pred,psnr_avg,psnr_std,ssim_avg,ssim_std,metrics
style_translator_cmp,exp4,model_best_psnr_tta,23.042645322335265,4.761175104751309,0.5560231101927084,0.18449086789269267,./evaluations/style_translator_cmp/exp4/model_best_psnr_tta/metrics.csv
style_translator_cmp,exp3,model_best_psnr_tta,23.03109751168198,4.900995538464472,0.5560974129416043,0.1838638053932081,./evaluations/style_translator_cmp/exp3/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp6,model_best_psnr_tta,23.020774932900544,4.685816807681621,0.5505115881186629,0.18511735029177295,./evaluations/style_translator_cahr_cmp/exp6/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp16,model_best_psnr_tta,23.00284265419285,4.673760018274431,0.5370096539311129,0.19115282134012923,./evaluations/style_translator_cahr/exp16/model_best_psnr_tta/metrics.csv
style_translator_cmp,exp2,model_best_psnr_tta,22.933013042160134,4.856306163752877,0.5569043354111323,0.18616385880534994,./evaluations/style_translator_cmp/exp2/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp13,model_best_psnr_tta,22.9311068161101,4.732456634983669,0.5509099096950477,0.18497126029987865,./evaluations/style_translator_cahr/exp13/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp11,model_best_psnr_tta,22.92197953351647,4.671191163585989,0.5375549197934479,0.19004813689063638,./evaluations/style_translator_cahr_cmp/exp11/model_best_psnr_tta/metrics.csv
style_translator,exp7,model_best_psnr_tta,22.911515248216944,4.662408905647864,0.5390458778833553,0.18967990441864876,./evaluations/style_translator/exp7/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp19,model_best_psnr_tta,22.90360127826948,4.690637128517496,0.5373037454070165,0.19083407931423296,./evaluations/style_translator_cahr/exp19/model_best_psnr_tta/metrics.csv
style_translator,exp6,model_best_psnr_tta,22.89415102693679,4.739267513136702,0.5538699347775231,0.18455453608488567,./evaluations/style_translator/exp6/model_best_psnr_tta/metrics.csv
style_translator,exp4,model_best_psnr_tta,22.88671557017315,4.8716528923726745,0.5507693508789205,0.18330319334923809,./evaluations/style_translator/exp4/model_best_psnr_tta/metrics.csv
style_translator_cmp,exp5,model_best_psnr_tta,22.87972841491495,4.780805095701742,0.5401172715019104,0.1892777307861529,./evaluations/style_translator_cmp/exp5/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp5,model_best_psnr_tta,22.878158239198893,4.697015701775526,0.5460691020482751,0.18520546463434964,./evaluations/style_translator_cahr_cmp/exp5/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp17,model_best_psnr_tta,22.861862748593044,4.722050251396358,0.5372176829478287,0.19029632131738475,./evaluations/style_translator_cahr/exp17/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp18,model_best_psnr_tta,22.842606850498758,4.783238333756177,0.541450486687535,0.18956958567603743,./evaluations/style_translator_cahr/exp18/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp15,model_best_psnr_tta,22.824586368379126,4.87918407265457,0.537908728358113,0.19031269214465524,./evaluations/style_translator_cahr/exp15/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp8,model_best_psnr_tta,22.822777182724366,4.786369307589979,0.5501509737156431,0.18532188864763569,./evaluations/style_translator_cahr_cmp/exp8/model_best_psnr_tta/metrics.csv
style_translator,exp5,model_best_psnr_tta,22.81417571389932,4.848600050821842,0.5485950148621682,0.18476077023354917,./evaluations/style_translator/exp5/model_best_psnr_tta/metrics.csv
